content_producer	term_id	langs	country	type	result_number	link_type	link_accessibility	how_recent_is_the_information	what_is_the_author_background	are_there_major_scientific_errors_in_the_link	how_accurate_is_the_scientific_content_presen	are_there_any_scientific_terms_that_lay_peopl	jargon_score	is_a_scientific_background_high_school_or_abo	x1_none_of_the_below	x2_others	x3_place_to_leave_comments_ask_questions	x4_graphs	x5_relevant_multimedia_e_g_video_animation_et	x6_hyper_links	x7_numerical_data	x8_list_of_sources	x9_citation_or_references_to_relevant_literat	are_there_local_examples_in_the_content_e_g_r	local_examples_prop	does_the_content_present_advantages_and_disad	site_type_fct	producer_high_cred	access_multimedia	access_sci	accuracy	cred	cons_n_neg	cons_n_pos	contextual	recency	conspiracy	access	agg_sci_qual	agg_sci_qual_norm
1	29	French	France	Canonical Scientific Issues	5	1	1	1	1	2	3	2	3	2	0	0	0	0	0	0	0	0	1	1	0.5	1	Text	TRUE	0	2	1	2	0	0	0	0	0	2	5	1.33333333333333
1	52	French	France	Novel Science and Technology Issues	5	1	4	4	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	Text	TRUE	1	1	0	1	0	0	0	1	0	2	4	1.58333333333333
1	38	French	France	Canonical Scientific Issues	4	1	1	1	1	2	3	2	3	2	0	0	0	0	0	0	0	0	1	1	0.5	1	Text	TRUE	0	2	1	2	0	0	0	0	0	2	5	1.33333333333333
1	42	Indonesian	Indonesia	Novel Science and Technology Issues	3	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	2	Text	TRUE	1	2	1	1	0	0	1	0	0	3	6	1.58333333333333
1	45	Indonesian	Indonesia	Novel Science and Technology Issues	6	1	1	1	1	2	3	2	3	2	0	0	0	0	0	0	1	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	52	Indonesian	Indonesia	Novel Science and Technology Issues	8	1	1	4	2	2	0	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	2	Text	TRUE	1	2	1	1	0	0	1	1	0	3	7	2.58333333333333
1	68	Indonesian	Indonesia	Socio-Scientific Issues	8	1	1	3	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	2	Text	TRUE	1	2	1	1	0	0	1	0	0	3	6	1.58333333333333
1	70	Indonesian	Indonesia	Socio-Scientific Issues	9	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	8	Hebrew	Israel	Canonical Scientific Issues	9	1	1	1	1	0	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0.5	0	Text	TRUE	0	0	0	1	0	0	1	0	0	0	2	0.583333333333333
1	39	Hebrew	Israel	Novel Science and Technology Issues	3	1	4	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	Text	TRUE	0	1	0	1	0	0	0	1	0	1	3	1.41666666666667
1	39	Hebrew	Israel	Novel Science and Technology Issues	4	1	4	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	Text	TRUE	0	1	0	1	0	0	0	1	0	1	3	1.41666666666667
1	39	Hebrew	Israel	Novel Science and Technology Issues	11	1	4	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	Text	TRUE	0	1	0	1	0	0	0	1	0	1	3	1.41666666666667
1	54	Hebrew	Israel	Socio-Scientific Issues	3	1	1	4	2	2	2	1	2	2	0	0	0	1	0	1	1	1	0	2	1	2	Text	TRUE	2	1	2	2	0	0	2	1	0	3	10	3.66666666666667
1	54	Hebrew	Israel	Socio-Scientific Issues	9	1	1	4	2	2	2	1	1	1	0	0	0	1	0	0	1	0	0	2	1	2	Text	TRUE	1	0	2	1	0	0	2	1	0	1	7	3.08333333333333
1	58	Hebrew	Israel	Socio-Scientific Issues	12	1	1	4	2	2	3	1	2	1	0	0	0	1	0	1	1	1	1	2	1	2	Text	TRUE	2	0	1	3	0	0	2	1	0	2	9	3.25
1	65	Hebrew	Israel	Socio-Scientific Issues	4	1	1	2	2	2	3	2	3	2	0	0	0	0	0	0	1	1	1	2	1	2	Text	TRUE	0	2	1	3	0	0	2	0	0	2	8	2.25
1	28	Hebrew	Israel	Canonical Scientific Issues	11	1	1	1	1	2	3	1	2	1	0	0	0	0	0	1	1	1	0	1	0.5	1	Text	TRUE	1	0	1	2	0	0	1	0	0	1	5	1.5
1	5	Hindi	India	Canonical Scientific Issues	9	1	1	4	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	2	1	2	Text	TRUE	0	2	1	1	0	0	2	1	0	2	7	2.75
1	8	Hindi	India	Canonical Scientific Issues	16	1	4	3	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	2	Text	TRUE	0	1	0	1	0	0	2	0	0	1	4	1.08333333333333
1	58	Hindi	India	Socio-Scientific Issues	11	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	2	1	1	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	68	Hindi	India	Socio-Scientific Issues	6	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	70	Hindi	India	Socio-Scientific Issues	10	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	2	1	2	Text	TRUE	0	2	1	1	0	0	2	0	0	2	6	1.75
1	20	Hindi	India	Canonical Scientific Issues	14	1	1	2	3	2	3	1	1	1	1	0	0	0	0	0	0	0	0	2	1	2	Text	TRUE	0	0	1	2	0	0	2	0	0	0	5	1.66666666666667
1	20	Hindi	India	Canonical Scientific Issues	12	1	4	4	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	Text	TRUE	1	1	0	1	0	0	0	1	0	2	4	1.58333333333333
1	28	Hindi	India	Canonical Scientific Issues	8	1	1	4	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	2	1	2	Text	TRUE	1	2	1	1	0	0	2	1	0	3	8	2.91666666666667
1	28	Hindi	India	Canonical Scientific Issues	9	1	1	4	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	2	1	2	Text	TRUE	1	2	1	1	0	0	2	1	0	3	8	2.91666666666667
1	54	Hindi	India	Socio-Scientific Issues	1	1	4	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	0	Text	TRUE	0	1	0	1	0	0	2	1	0	1	5	2.08333333333333
1	54	Hindi	India	Socio-Scientific Issues	4	1	4	3	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	0	Text	TRUE	0	1	0	1	0	0	2	0	0	1	4	1.08333333333333
1	54	Hindi	India	Socio-Scientific Issues	9	1	4	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	0	Text	TRUE	0	1	0	1	0	0	2	1	0	1	5	2.08333333333333
1	58	Hindi	India	Socio-Scientific Issues	3	1	4	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	0	Text	TRUE	0	1	0	1	0	0	2	1	0	1	5	2.08333333333333
1	68	Hindi	India	Socio-Scientific Issues	8	1	4	4	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	0	Text	TRUE	0	1	0	1	0	0	2	1	0	1	5	2.08333333333333
1	5	Italian	Italy	Canonical Scientific Issues	10	1	4	1	1	0	0	2	3	2	0	0	0	0	0	1	0	0	0	0	0	0	Text	TRUE	1	2	0	1	0	0	0	0	0	3	4	0.75
1	5	Italian	Italy	Canonical Scientific Issues	2	1	4	4	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	Text	TRUE	2	1	0	1	0	0	0	1	0	3	5	1.75
1	54	Italian	Italy	Socio-Scientific Issues	2	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	0	1	1	2	1	2	Text	TRUE	1	2	1	3	0	0	2	0	0	3	9	2.41666666666667
1	65	Italian	Italy	Socio-Scientific Issues	3	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	2	1	2	Text	TRUE	0	2	1	1	0	0	2	0	0	2	6	1.75
1	65	Italian	Italy	Socio-Scientific Issues	1	1	1	4	3	2	3	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	2	Text	TRUE	1	2	1	2	0	0	1	1	0	3	8	2.83333333333333
1	39	Italian	Italy	Novel Science and Technology Issues	1	1	1	4	1	2	3	1	1	1	0	0	0	0	0	1	0	0	0	1	0.5	2	Text	TRUE	1	0	1	1	0	0	1	1	0	1	5	2.25
1	8	Japanese	Japan	Canonical Scientific Issues	9	1	1	4	1	2	3	1	1	2	1	0	0	0	0	0	0	0	0	1	0.5	1	Text	TRUE	0	1	1	1	0	0	0	1	0	1	4	1.91666666666667
1	12	Japanese	Japan	Canonical Scientific Issues	1	1	1	3	2	2	3	1	2	2	0	0	0	0	0	0	0	0	1	2	1	1	Text	TRUE	0	1	1	2	0	0	1	0	0	1	5	1.5
1	28	Japanese	Japan	Canonical Scientific Issues	3	1	1	4	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	1	0	3	6	2.25
1	29	Japanese	Japan	Canonical Scientific Issues	2	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	1	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	0	0	3	5	1.25
1	42	Japanese	Japan	Novel Science and Technology Issues	1	1	1	4	1	2	3	1	2	2	0	0	0	0	0	1	0	0	0	1	0.5	1	Text	TRUE	1	1	1	1	0	0	0	1	0	2	5	2.08333333333333
1	46	Japanese	Japan	Novel Science and Technology Issues	2	1	1	1	1	2	3	2	3	1	0	0	0	0	0	1	0	0	1	1	0.5	2	Text	TRUE	1	1	1	2	0	0	0	0	0	2	5	1.33333333333333
1	65	Japanese	Japan	Socio-Scientific Issues	1	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	0	1	1	1	0.5	2	Text	TRUE	1	2	1	3	0	0	0	0	0	3	7	1.75
1	5	Swahili	Kenya	Canonical Scientific Issues	8	1	1	4	3	2	3	2	3	2	0	0	1	0	0	1	1	0	0	2	1	2	Text	TRUE	1	2	1	2	0	0	2	1	0	3	9	3.16666666666667
1	42	Swahili	Kenya	Novel Science and Technology Issues	12	1	1	1	3	2	3	2	3	2	0	0	1	0	0	1	0	0	0	1	0.5	2	Text	TRUE	1	2	1	2	0	0	1	0	0	3	7	1.83333333333333
1	46	Swahili	Kenya	Novel Science and Technology Issues	3	1	1	4	3	2	3	2	3	2	0	0	1	0	0	1	1	0	0	1	0.5	2	Text	TRUE	1	2	1	2	0	0	1	1	0	3	8	2.83333333333333
1	6	Korean	South Korea	Canonical Scientific Issues	3	1	1	1	1	2	3	2	3	2	0	0	0	0	0	0	1	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	8	Korean	South Korea	Canonical Scientific Issues	8	2	1	2	1	2	3	1	2	2	1	0	0	0	0	0	0	0	0	1	0.5	1	Text	TRUE	1	1	1	1	0	0	0	0	0	2	4	1.08333333333333
1	43	Korean	South Korea	Novel Science and Technology Issues	2	1	1	4	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	1	0	3	6	2.25
1	54	Korean	South Korea	Socio-Scientific Issues	10	1	1	2	3	2	3	1	1	1	0	0	0	0	0	0	0	1	0	2	1	2	Text	TRUE	0	0	1	3	0	0	1	0	0	0	5	1.58333333333333
1	56	Korean	South Korea	Socio-Scientific Issues	7	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	1	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	0	0	3	5	1.25
1	59	Korean	South Korea	Socio-Scientific Issues	3	1	1	1	1	2	3	1	2	2	1	0	0	0	0	0	0	0	0	1	0.5	2	Text	TRUE	0	1	1	1	0	0	1	0	0	1	4	1.25
1	65	Korean	South Korea	Socio-Scientific Issues	10	1	1	1	2	2	3	2	3	2	0	0	0	0	0	0	1	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	0	0	0	2	4	1.08333333333333
1	66	Korean	South Korea	Socio-Scientific Issues	1	1	1	4	1	2	3	1	2	2	0	0	0	1	0	1	0	0	0	1	0.5	2	Text	TRUE	2	1	1	1	0	0	1	1	0	3	7	2.58333333333333
1	68	Korean	South Korea	Socio-Scientific Issues	1	1	1	4	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	1	0	3	6	2.25
1	68	Korean	South Korea	Socio-Scientific Issues	7	1	1	4	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	1	0	3	6	2.25
1	68	Korean	South Korea	Socio-Scientific Issues	11	1	1	4	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	1	Text	TRUE	0	2	1	1	0	0	0	1	0	2	5	2.08333333333333
1	70	Korean	South Korea	Socio-Scientific Issues	1	1	1	1	1	2	3	2	3	2	0	0	0	0	0	0	1	0	0	1	0.5	1	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	28	Spanish	Mexico	Canonical Scientific Issues	1	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	54	Spanish	Mexico	Socio-Scientific Issues	2	1	1	3	1	2	3	2	3	2	0	0	0	0	0	0	1	0	1	2	1	1	Text	TRUE	0	2	1	2	0	0	2	0	0	2	7	2
1	5	Portuguese	Portugal	Canonical Scientific Issues	2	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	0	Text	TRUE	0	2	1	1	0	0	0	0	0	2	4	1.08333333333333
1	65	Portuguese	Portugal	Socio-Scientific Issues	2	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	2	1	2	Text	TRUE	1	2	1	1	0	0	2	0	0	3	7	1.91666666666667
1	70	Portuguese	Portugal	Socio-Scientific Issues	6	1	1	1	1	2	3	2	3	2	0	0	0	0	0	0	1	0	0	2	1	2	Text	TRUE	0	2	1	1	0	0	2	0	0	2	6	1.75
1	71	Portuguese	Portugal	Socio-Scientific Issues	13	1	1	1	1	2	3	2	3	1	0	0	0	0	1	0	0	1	1	2	1	2	Text	TRUE	1	1	1	3	0	0	2	0	0	2	8	2.25
1	71	Portuguese	Portugal	Socio-Scientific Issues	8	1	1	1	1	2	3	1	2	2	0	0	0	0	0	1	0	0	1	2	1	2	Text	TRUE	1	1	1	2	0	0	2	0	0	2	7	2
1	5	Turkish	Turkey	Canonical Scientific Issues	2	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	65	Turkish	Turkey	Socio-Scientific Issues	1	1	1	1	1	2	3	2	3	2	0	0	0	0	0	0	1	0	0	2	1	0	Text	TRUE	0	2	1	1	0	0	2	0	0	2	6	1.75
1	70	Turkish	Turkey	Socio-Scientific Issues	6	1	1	4	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	0	Text	TRUE	0	2	1	1	0	0	1	1	0	2	6	2.41666666666667
1	71	Turkish	Turkey	Socio-Scientific Issues	8	1	1	1	1	2	3	1	1	2	1	0	0	0	0	0	0	0	0	1	0.5	0	Text	TRUE	0	1	1	1	0	0	1	0	0	1	4	1.25
1	28	Turkish	Turkey	Canonical Scientific Issues	8	1	1	4	1	2	2	2	3	2	0	0	0	0	0	0	1	0	0	2	1	2	Text	TRUE	0	2	2	1	0	0	2	1	0	2	8	3.25
1	8	Taiwanese	Taiwan	Canonical Scientific Issues	4	1	1	2	1	2	3	2	3	2	0	1	0	0	0	0	0	0	0	1	0.5	1	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	39	Taiwanese	Taiwan	Novel Science and Technology Issues	1	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	2	1	0	Text	TRUE	1	2	1	1	0	0	2	0	0	3	7	1.91666666666667
1	42	Taiwanese	Taiwan	Novel Science and Technology Issues	2	1	1	1	1	2	3	1	1	1	0	0	0	0	0	1	0	0	1	1	0.5	2	Text	TRUE	1	0	1	2	0	0	1	0	0	1	5	1.5
1	46	Taiwanese	Taiwan	Novel Science and Technology Issues	5	1	1	3	1	2	3	2	3	2	0	0	0	0	0	0	1	0	0	1	0.5	0	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	46	Taiwanese	Taiwan	Novel Science and Technology Issues	9	1	1	3	1	2	3	1	2	2	0	0	0	0	0	0	1	0	0	1	0.5	2	Text	TRUE	0	1	1	1	0	0	1	0	0	1	4	1.25
1	58	Taiwanese	Taiwan	Socio-Scientific Issues	5	1	1	4	1	2	3	1	1	1	1	0	0	0	0	0	0	0	0	1	0.5	1	Text	TRUE	0	0	1	1	0	0	0	1	0	0	3	1.75
1	65	Taiwanese	Taiwan	Socio-Scientific Issues	10	1	1	3	1	2	3	1	1	1	1	0	0	0	0	0	0	0	0	1	0.5	1	Text	TRUE	0	0	1	1	0	0	0	0	0	0	2	0.75
1	28	Swahili	Tanzania	Canonical Scientific Issues	5	1	4	4	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	Text	TRUE	1	1	0	1	0	0	0	1	0	2	4	1.58333333333333
1	52	Swahili	Tanzania	Novel Science and Technology Issues	12	1	1	4	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	2	1	2	Text	TRUE	0	2	1	1	0	0	2	1	0	2	7	2.75
1	68	Swahili	Tanzania	Socio-Scientific Issues	7	1	1	4	1	2	3	2	3	2	0	0	1	0	0	1	1	0	0	2	1	2	Text	TRUE	1	2	1	1	0	0	1	1	0	3	7	2.58333333333333
1	8	Ukrainian	Ukraine	Canonical Scientific Issues	3	3	1	4	1	2	3	2	3	2	0	0	0	0	0	1	1	0	0	2	1	1	Text	TRUE	1	2	1	1	0	0	3	1	0	3	9	3.25
1	8	Ukrainian	Ukraine	Canonical Scientific Issues	12	1	1	2	1	2	3	1	2	1	0	0	0	0	0	0	1	0	0	2	1	2	Text	TRUE	0	0	1	1	0	0	2	0	0	0	4	1.41666666666667
1	8	Ukrainian	Ukraine	Canonical Scientific Issues	8	1	4	4	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	1	1	Text	TRUE	0	1	0	1	0	0	2	1	0	1	5	2.08333333333333
1	58	Ukrainian	Ukraine	Socio-Scientific Issues	7	1	1	4	1	2	3	2	3	2	0	0	0	0	1	0	1	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	1	0	3	6	2.25
1	16	Ukrainian	Ukraine	Canonical Scientific Issues	2	1	1	1	1	2	3	1	1	1	1	0	0	0	0	0	0	0	0	1	0.5	1	Text	TRUE	0	0	1	1	0	0	0	0	0	0	2	0.75
1	16	Ukrainian	Ukraine	Canonical Scientific Issues	9	1	1	4	1	2	3	1	1	2	0	0	0	0	0	1	1	1	0	2	1	1	Text	TRUE	1	1	1	2	0	0	2	1	0	2	8	3
1	70	Ukrainian	Ukraine	Socio-Scientific Issues	7	1	1	3	1	2	3	1	2	1	0	0	0	0	0	0	1	0	0	1	0.5	2	Text	TRUE	0	0	1	1	0	0	1	0	0	0	3	1.08333333333333
1	70	Ukrainian	Ukraine	Socio-Scientific Issues	6	1	4	3	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0.5	2	Text	TRUE	0	1	0	1	0	0	1	0	0	1	3	0.75
1	45	English	United States	Novel Science and Technology Issues	7	1	1	1	3	2	3	2	3	2	0	0	0	0	0	1	1	0	0	0	0	2	Text	TRUE	1	2	1	2	0	0	1	0	0	3	7	1.83333333333333
1	65	English	United States	Socio-Scientific Issues	7	1	1	1	1	2	3	2	3	2	0	0	1	0	0	0	0	0	0	2	1	1	Text	TRUE	0	2	1	1	0	0	2	0	0	2	6	1.75
1	66	English	United States	Socio-Scientific Issues	2	2	1	4	3	2	3	1	2	2	0	0	0	1	0	1	1	1	0	2	1	2	Text	TRUE	3	1	1	3	0	0	2	1	0	4	11	3.58333333333333
1	68	English	United States	Socio-Scientific Issues	3	1	1	4	3	1	3	2	3	2	0	0	0	0	0	1	0	0	0	2	1	2	Text	TRUE	1	2	0	2	0	0	1	1	0	3	7	2.33333333333333
